vm_id,timestamp,cpu_usage,memory_usage,network_traffic,power_consumption,num_executed_instructions,execution_time,energy_efficiency,task_type,task_priority,task_status
b07941d5-3eb8-42dc-a03b-4fb81dbcb4c0,09-07-2023 22:40,14.33532874,4.481789361,296.7721211,386.128954,,5.859939367,0.633418682,network,high,completed
,12-06-2023 06:58,94.4668917,20.30882054,,481.3587078,8688,,0.723851132,,high,waiting
40f62f6f-14c3-425b-8503-241e4f4ed0a7,07-02-2023 11:24,52.18483218,19.44747041,261.1567625,174.7835068,3686,,0.454299915,,low,completed
ce27f2d1-6a11-4ed8-890f-6db13637840a,14-05-2023 00:42,41.466194,74.77060134,757.3686812,96.01126691,1183,77.19094327,0.424299157,compute,medium,completed
decfa72d-f359-4731-8b45-8db3f2c4ea24,02-06-2023 16:21,26.45556121,64.20849448,854.9338344,,7875,72.44787759,0.150365378,,,running
,30-06-2023 09:15,77.42336894,29.39485998,,355.5610577,1968,88.55497119,0.469574846,io,high,running
a9d7b49c-6398-43d3-a5b5-160d28dde606,16-04-2023 21:57,45.61503322,79.50720127,335.8007336,132.911978,925,,0.754865419,network,low,completed
2abdee1d-e1bd-4c5f-b1cd-19d80c964336,11-06-2023 07:40,56.84339489,5.346181034,210.2245063,351.9970204,,1.391701057,0.205415932,compute,low,waiting
204295cf-acff-40a7-8243-b91d6e94c4f7,02-07-2023 21:46,1.878980044,2.396252699,781.4629518,173.5755999,23,69.93225189,0.828468559,io,high,
ff42db1e-e00e-4885-a40f-7fa35e60b978,14-03-2023 22:02,61.76354971,0.023014743,,312.6761933,1726,,0.999609231,compute,low,running
5dc06d9c-ba69-4c7c-a8cd-a967a7f8fad5,03-02-2023 20:57,61.20957227,1.061833471,695.7789574,397.5592254,781,12.34700162,0.849074291,,medium,
d8556493-5092-46ea-9477-fb7a722b215e,15-01-2023 06:40,61.69339969,0.665018649,686.3747058,154.8911716,6006,99.5420586,0.992291093,compute,medium,completed
27267259-e40f-4e64-9e6e-d2563c5f198d,12-02-2023 20:43,94.37480785,64.72232673,662.4293353,,7136,45.73563786,0.50017508,io,high,running
,31-05-2023 21:01,68.18202991,1.763578307,710.7411196,,7724,81.36740178,0.713104719,compute,low,running
e4261896-dec0-47c3-8920-98a92656daa5,17-07-2023 04:41,35.95079006,72.98098132,350.5145898,132.6596235,430,76.32524442,0.003891397,network,high,waiting
6f8b5688-ac95-4369-b552-6938fe3c2baa,24-01-2023 15:43,43.70319538,28.11821961,,448.0205267,4628,81.33689787,0.540977175,io,,running
3d2ba611-df79-40b3-bc20-63a3796de7fd,09-05-2023 05:47,69.76311959,96.08851928,602.3477887,161.7054658,6670,27.56714294,0.249604082,network,,running
3a233eb2-f875-4805-a41e-6a512c52a180,11-07-2023 23:55,6.022547163,33.03585426,719.7953588,434.5889307,4976,28.99078037,0.791067521,io,high,waiting
80b073e5-914b-4e56-a285-1b68625fcf2a,21-03-2023 05:25,,,182.9522553,333.5572971,5413,74.54670767,,io,low,completed
aaa03097-d35c-44cc-af28-08ac4a8ac005,15-01-2023 21:12,67.06378696,56.20080455,856.3729241,300.8163385,3925,1.625046036,0.979356085,io,high,running
b4ec0e1a-40a5-4386-a503-d9ff61a4437d,15-04-2023 02:16,21.03825611,5.63418547,,485.492341,8689,18.79640704,0.873678817,compute,medium,running
6b6d4ad7-615b-4aeb-be4e-002fb053850e,21-01-2023 13:38,12.89262977,,906.8080461,330.2078424,6940,14.1724312,0.123155471,io,low,completed
79c822ff-ec1a-4001-9cc5-08e58737aa26,17-03-2023 07:05,31.54283509,39.3017369,,432.0855381,5137,48.03763517,0.216197676,compute,low,running
72409b20-fe74-418b-b8d2-a473df503c62,09-05-2023 14:21,36.37107709,21.95574393,765.1085405,300.0687184,6822,44.7084308,0.690077845,compute,high,completed
33beaac9-d548-4152-bd0e-2603655424f9,21-04-2023 19:33,57.01967704,57.29314802,671.6706722,499.4010522,3089,67.01478558,0.255882596,network,medium,running
a0d91a20-21a7-484a-9516-b72c71061fe0,23-02-2023 23:54,43.86015135,16.92781488,469.1759202,224.5788339,8115,28.18183004,0.107667308,compute,low,running
8af1cedc-5a93-43eb-926a-a32c9855268c,18-04-2023 15:50,98.83738381,26.88207718,,239.7016583,3789,45.59599186,,network,low,
,14-02-2023 07:41,,80.26420137,622.7004117,37.71408509,2802,26.54276349,0.76265593,network,high,running
022cd9e9-cd46-461c-a659-a8a0043a586e,14-06-2023 15:49,20.88767561,6.74320646,699.7006842,105.0915828,1385,,,,,running
12c872cb-3959-4f4b-89b5-d1d421c8769a,10-06-2023 08:18,16.13095179,45.56361932,,398.9525332,1958,64.44928181,0.525771526,compute,high,waiting
127b1d54-60ef-490c-814c-b2996b3cc235,16-06-2023 17:04,65.31083255,0.882998829,912.6273755,53.0878145,9725,57.77399506,,,,running
cc43e4a9-7a71-4497-a645-ae8a4b45be7a,19-04-2023 18:59,25.32916025,87.80929318,,21.52028028,8986,65.7492874,0.733072913,network,high,completed
4803eac8-d8d9-4f69-a2ca-b689588e1df2,27-02-2023 01:47,46.63107729,20.35419455,779.8892927,337.053375,8316,,0.080051326,io,medium,running
,04-03-2023 11:48,24.4425592,87.33239527,799.2357667,243.4005078,2092,,0.623128377,network,high,waiting
86edc6a9-d216-4d74-97f5-1a065979aa72,01-03-2023 14:49,15.89695836,93.53620228,964.3164949,,3584,6.168850995,0.116847519,compute,medium,completed
a010826e-6ad5-4008-9d79-379f813e60e1,07-04-2023 05:58,11.03751412,9.406858798,817.4972473,202.2621075,9769,,0.250579462,network,medium,completed
f264b71d-eda2-4d59-a28b-405572e84ddd,01-04-2023 11:05,,98.50453162,,11.43258331,,18.34899842,,network,high,completed
79412622-4f87-4c39-96a9-5d2f8e52ebaf,,13.81829513,1.964713597,107.4803241,172.936116,2269,4.474412272,0.601729699,io,low,waiting
99b8881f-eb7a-4e0a-87fe-51c1f33bddb0,02-04-2023 16:31,19.65823617,41.5633519,412.8185145,200.4533216,6196,77.500707,0.876001774,network,medium,running
a0302f08-617d-43ba-a20d-a4cc16eca88d,18-02-2023 11:00,36.87251707,40.43662034,681.3583777,223.481083,8307,73.13474956,0.170683293,compute,high,running
39747b5f-4245-402a-a414-130c7c6e699c,17-02-2023 21:54,82.09932298,25.56338486,118.0242822,240.6879368,4086,79.98972352,0.732020279,network,high,waiting
16c8c2e3-4867-4a20-90d4-380a8838bb3f,06-05-2023 08:26,9.710127579,76.54117679,381.0367477,331.5184888,4547,77.58898704,0.212521838,network,,running
1419b321-a100-46de-a38d-0a7a14e510e2,19-01-2023 04:41,83.79449075,18.78137732,347.6943152,395.0906871,,29.8731522,0.361522322,network,low,
e498a339-3f0f-4e72-b979-69dc40010f20,01-01-2023 11:30,9.609840789,5.842703528,195.366922,153.257058,2617,99.87627161,0.458981514,network,low,waiting
72eda607-6484-4441-a3f8-354717010bea,,97.6459465,26.06860023,549.050876,22.16881113,,87.96546898,0.131282695,io,high,running
1d3648b9-98c4-4280-97e8-4b3882b9e8db,29-01-2023 03:34,46.86512016,,257.2217821,28.80159391,8737,3.849593536,0.617356656,compute,medium,completed
6515f29e-3770-439e-ad51-c898a2ee4c91,08-01-2023 14:29,97.67610882,,334.3055738,105.0539609,912,,0.440746339,io,low,
bbe26b9c-c5c0-4faa-841c-a693296aed4c,11-03-2023 16:39,60.48455197,71.71940866,226.8888352,438.5798815,5034,9.50869147,0.286202643,io,high,completed
bb8b7e8e-526a-49c1-af03-6a835af2b954,26-04-2023 14:46,73.92635794,,338.6382852,205.658029,110,13.46692182,0.14764929,compute,,running
,14-01-2023 09:39,3.918779225,46.18171975,664.6155648,,5294,72.1317938,0.092404041,io,low,running
f8c40a51-3d53-4e27-94c5-f20681892369,11-01-2023 02:02,28.28069626,22.56677129,29.16695739,394.8015241,5677,15.92283385,0.98011221,,medium,waiting
cb52511d-5260-49d5-a3b9-6635e5920ab6,27-06-2023 13:17,12.01965612,24.36770104,728.8975809,,4083,,0.714650462,network,high,running
8208bb7a-34bc-40cd-800a-43bf5fe23fbe,02-06-2023 16:17,29.61401975,34.32760045,46.37596119,86.86789034,1958,19.3433408,0.036206069,compute,low,running
7d4c7219-ad83-45a1-bce5-1d86e053eca5,15-06-2023 21:22,11.8727719,60.85517788,633.1166609,360.4685952,9814,92.49373662,0.752879401,io,low,completed
f28e785d-fd70-447a-9270-be20cd2c4f1a,12-04-2023 18:05,31.79831794,91.66303677,361.1641618,166.7952768,2865,13.63237574,,network,,completed
9d0ca4fd-0698-42df-ab43-aba6fcffa85b,27-06-2023 20:24,41.42629945,9.428435191,206.486436,383.0584109,9583,35.71857312,0.514205377,compute,high,completed
4cc8fbce-2a82-457b-833a-95ad4e9116df,20-02-2023 09:35,,59.969937,352.2107524,181.6866148,,1.321977102,0.259439626,compute,high,waiting
9415380a-4126-4c49-95ae-5e891bb7e328,06-06-2023 04:31,69.24721194,63.53469479,,422.8469345,9215,62.77812832,0.245375672,,low,waiting
f0954f25-66de-44ec-a6d1-364f59d74c28,13-06-2023 08:45,56.66014542,,569.9168755,,,45.7313294,0.626364868,network,medium,running
d711f1ea-82fa-4b7a-91c7-e357f8b1b43d,19-07-2023 08:50,26.53894909,10.04694541,880.7840802,278.0624663,9268,36.50234031,0.975413386,io,high,waiting
,06-05-2023 06:13,52.32480535,59.05278914,226.6317098,393.0471628,9294,,0.402751974,,medium,waiting
,08-06-2023 13:24,9.394051076,91.00146017,,73.32197618,8099,76.83005737,0.16999105,io,low,running
1744d96a-6b16-4931-987c-19dea5bcc617,20-06-2023 09:13,57.59464956,17.63796746,,138.2029153,3377,43.94593759,0.647667518,io,medium,completed
91f99184-827a-4998-b75e-f5312a72f984,03-05-2023 23:49,92.92961976,69.80146155,26.30938056,106.7270796,7092,,0.197438945,compute,low,
7104f16b-1a51-4a04-8378-7f126073e3fb,20-03-2023 15:29,31.85689525,10.29420374,633.7403832,308.9966381,4891,1.735685785,0.077737838,io,high,running
324f05f0-0e2d-4e89-a9a1-72de579614d3,29-04-2023 03:05,66.741038,74.18434995,824.4758186,455.9792243,3609,79.27773618,0.389649353,io,medium,running
fac1cbf0-a7b9-496e-b759-739a7ad91d73,01-07-2023 09:28,13.17978624,46.2160889,454.7812386,400.4471256,4476,70.65627646,0.662092535,compute,low,waiting
,18-02-2023 21:40,,,157.5982066,188.2431204,6269,,0.144485254,compute,low,running
4fa3259d-f384-4306-8362-5304e414b782,,28.94060929,77.9984498,970.2919487,29.85202285,5250,1.305746003,0.92574472,network,medium,running
ab051dd8-5498-49b1-a106-4af23af35547,04-03-2023 20:25,18.3191362,16.11097763,529.3430064,29.88027423,7852,96.99785891,0.973320334,compute,low,waiting
33b0701d-1c57-4242-b932-36597ceff7c8,09-04-2023 23:43,,57.52351272,122.8885373,199.2513251,9469,54.53281252,0.100632348,network,high,waiting
daf1b231-bbc6-476c-a972-d9d05d06569d,,2.010754619,77.05691245,176.4598016,374.8908688,888,97.55590066,0.736476192,compute,low,waiting
ddbd9bc0-df49-4c6f-800d-f24e5eae6160,27-01-2023 21:53,82.89400292,87.01923061,542.5548349,178.8563623,25,77.96019623,0.51933132,io,low,running
0d5544fb-0ef2-4054-8958-71c3a49c8ece,03-04-2023 21:40,0.469547619,33.85853162,348.8057204,415.7128929,711,11.45256726,0.323153963,compute,,completed
b22a846d-4870-4900-b9d2-5a6966ac120a,23-04-2023 14:30,67.78165368,4.289763005,31.7978557,22.97404456,8884,,0.572390557,network,high,running
83db5e2c-9d19-4329-b368-bb41ec34d74a,,27.00079732,98.47902636,528.9193155,140.6795385,,,0.095962364,io,medium,waiting
65c8b2ae-5008-4c1c-82de-f17f82ad4b9e,21-02-2023 07:56,73.51940221,65.02698054,289.9052072,282.581205,1638,62.40722221,0.157119058,network,high,running
8349c556-df26-4058-b074-7cf306df723c,17-03-2023 17:28,96.21885451,1.554587914,933.8841455,,,14.44441745,0.116570534,compute,medium,completed
57f1377e-0fb3-424b-ab60-a0dd2a26050d,10-01-2023 11:22,24.87531435,69.98463124,668.8237805,346.4723553,6927,10.61416051,0.651735048,io,high,completed
3ccda746-edc8-4644-8708-ed5670f49c68,09-03-2023 06:11,57.61573344,20.02498214,611.542102,43.3485263,3892,63.71638358,0.473653758,network,high,waiting
6fd26e50-2c6e-433a-92b7-58ff30d3e7c2,20-05-2023 09:56,59.20419313,69.43359315,969.8421086,351.9218107,7690,76.44775406,0.482483975,network,low,waiting
550dac41-1370-45b2-8e28-38c28d79df75,24-05-2023 14:26,57.22519058,29.80347824,499.0652954,123.7437898,,87.04135422,,network,medium,running
7661db27-d45b-4f8c-ac4f-f98698981b92,24-03-2023 10:20,22.30816326,13.85061269,963.0065502,80.88955031,5551,74.33652141,0.768117828,io,high,waiting
3c7a103c-03a6-4a34-bdb7-8fc075b51210,06-04-2023 13:46,95.27490115,92.86385309,61.10591501,335.5783019,4567,78.74270934,0.978411188,compute,low,running
b3b85134-a6a6-4e72-9ea2-3acbb9142b84,14-01-2023 22:18,44.71253786,11.45380814,617.0438475,286.9163732,4582,63.65949072,0.959440901,io,high,completed
d60bbb59-6b2f-4ea2-9145-ccc60bf52bba,30-01-2023 00:00,84.64086725,33.08773928,994.9378624,447.1987483,4661,3.405124274,0.0570229,io,medium,waiting
a229e4b0-29b7-412d-aa77-be34aa97b8b3,18-06-2023 23:43,69.94792753,10.38623893,20.90918971,416.5247741,8737,8.575356624,,network,low,completed
4fc36b60-4cfd-476b-82d2-0fff137dba40,19-04-2023 04:02,29.74369509,14.73778155,189.1474347,384.5754335,7825,53.45523572,0.201224204,compute,high,
d2a73316-0d1a-4ddc-810b-6e9889d89ccb,20-02-2023 12:34,81.37978197,48.96957311,,337.1530461,2112,61.07644621,0.183908663,network,low,completed
2cf93117-2c7d-4d4f-813e-47337611f7cf,,39.65057408,28.3425796,10.4964624,,2073,,0.065752904,compute,,waiting
cd0e5dad-a59d-421c-8fec-06840aa429f1,03-03-2023 14:01,88.11031971,88.49900058,,164.0495361,869,69.5609189,,compute,low,waiting
f59cc790-d256-42d9-b3ab-83fdd84ff21b,17-03-2023 21:30,58.12728726,71.79510482,699.5292175,,6073,95.35984578,0.03719618,network,medium,waiting
743af8b6-89e3-49f7-beae-bc2588b9875e,05-03-2023 01:48,88.17353619,9.645270214,,,583,91.25876936,,io,high,completed
4ca61f91-06d6-4455-9058-aabbf915fcc1,,69.25315901,46.43802786,767.0124301,2.687086086,5280,86.76077754,0.129533391,io,low,completed
204be5e8-539c-40bd-b922-3bbdd42f2a04,23-04-2023 15:52,72.52542798,4.998698343,374.3988508,492.5515939,9399,9.055539049,0.670913188,compute,high,waiting
95de1818-a228-49a9-8669-1630fd2ce84b,21-06-2023 10:49,50.13243819,72.14937459,642.066284,493.7644998,5229,24.94728075,0.885732317,compute,,completed
,02-03-2023 23:12,95.60836347,44.04027955,237.0449607,105.2397937,7322,87.44816016,0.357461569,io,low,
e815f934-58cf-4d89-8764-14048bae3dfa,27-06-2023 07:45,64.39901992,19.0417779,382.4415257,100.7501517,4607,45.7449887,0.458405852,io,low,waiting
041d6322-85d9-4901-b303-009f62ec2c8f,26-06-2023 21:52,42.38550486,,677.5125634,,8758,,0.609961273,io,,running
b5f85cdf-db21-47bc-b48d-928b1418c96b,14-04-2023 09:14,60.63932141,,159.7279398,270.1532447,8749,57.83484028,0.320152878,network,medium,running
413a5a96-a794-484b-9a2e-41e15493742c,27-01-2023 23:04,1.919319831,89.60237184,653.3989104,1.105497963,90,34.07344537,0.092947808,io,low,running
,,30.15748167,75.73937922,100.5393653,22.26242122,,25.89329579,0.126406546,,high,
7b428d17-6dbc-4ae7-a169-abe73e2f4d93,28-06-2023 23:41,66.01735375,15.3512809,169.2792908,151.3959781,6837,7.790832084,0.048416924,network,medium,waiting
,19-05-2023 03:43,,,389.6377221,456.315459,3746,81.40709299,0.906906569,compute,low,waiting
aaf886fd-412d-4358-af1a-84235db1a7d2,29-04-2023 20:58,61.8015429,58.48604702,448.1867347,449.3589711,5477,21.88557498,0.682736047,compute,low,completed
2547bb77-11f5-4408-ba5c-b72fec717e9f,24-05-2023 06:16,42.87687009,2.300391595,840.7428984,,9354,17.86470849,0.037332567,compute,low,completed
bf3edfaa-7355-4c48-9767-a495e78742aa,,13.54740642,61.4584168,348.9494072,77.15230898,7866,60.09557366,0.726021806,,,completed
09bb4b7e-9aec-49d1-b18d-5e2a822470d5,18-01-2023 16:50,29.8282326,35.4791401,335.636969,88.29902475,2683,39.32186909,0.956374422,io,medium,completed
,03-06-2023 21:47,56.99649107,22.77431187,942.2562672,413.5923133,9040,77.4841598,0.779679168,,low,running
c4577c79-bebc-4666-a239-e5021241a2f5,28-03-2023 13:42,,59.86488223,391.0373885,313.7918673,7490,66.41294939,0.581435282,io,low,waiting
e8531f56-82ee-418b-8806-8326b294772f,07-04-2023 23:49,57.43252488,26.45059166,336.9289896,232.7878107,,23.07913481,0.918349654,compute,low,completed
bb496d9f-c483-4124-a648-b4d6b312d2a2,12-02-2023 15:15,65.32008199,35.7709912,492.8520441,344.17723,8121,98.01785191,0.97188801,network,high,running
8f681a9f-77a0-4ede-aa05-e7bcd693012a,08-05-2023 11:59,65.210327,36.57382806,710.8718906,,1340,,0.38266106,compute,,waiting
54ba5ae5-7278-4863-95b0-ef2fae45b6c6,14-03-2023 19:28,43.14184354,,370.8519007,174.2516371,7647,32.54027804,0.151161731,compute,medium,waiting
aa8d21e7-3703-4a27-bd87-1da022033080,29-03-2023 23:08,89.65465959,97.08323762,,25.67621336,5752,,0.922168354,io,low,running
6417be25-0de9-4da7-9d78-d33448e9f460,28-04-2023 02:02,36.756187,87.89890575,184.7566975,331.2705727,7572,61.13435059,0.698705438,network,low,waiting
b6834ce7-9075-4079-9353-aa83fab793e7,12-04-2023 02:00,43.58649253,23.53984523,,405.2652082,5420,,0.247936111,io,low,running
ab9c471d-245d-4648-af69-3c639587a332,29-06-2023 05:57,89.1923355,8.279673771,840.9009744,,8466,54.39502667,0.821459564,io,low,completed
854af429-fb7e-43e2-b2b5-f4edd1f844c0,02-06-2023 17:14,80.6193989,84.43895515,582.6713539,109.5064204,4554,40.85459171,0.339812698,compute,,completed
79a90349-3cc8-4780-a0aa-2dc8076653ad,,70.38885835,50.01592126,860.5374646,423.5307127,4805,64.81758155,0.127148413,,medium,completed
8e5250b5-da5b-403d-b2b5-42a90dcbac76,12-01-2023 23:56,10.02268873,59.43897383,,225.4489377,,53.13631327,,io,low,completed
e6c72cb3-960c-4926-8597-758b68fb887a,23-02-2023 19:14,91.94826137,31.63667274,974.8130742,413.5930678,7002,29.10234942,0.427960825,io,high,
a4a50947-3ad1-466e-83fb-f19842bc7e32,07-06-2023 12:52,71.42412995,98.15603639,,390.4419842,8559,54.2731418,0.38344322,compute,low,running
,23-05-2023 22:46,,89.65968243,45.90340089,223.4455599,,70.23389524,0.924362251,compute,medium,completed
,10-05-2023 04:01,14.94483047,8.211750473,,316.302817,3781,45.03076366,0.097589167,io,medium,completed
bd2336f9-a9c2-4e1f-a456-8aab33fd585f,06-06-2023 23:00,86.81260574,18.4950852,88.90443423,280.0688278,9433,98.43382825,0.875031793,io,medium,running
75e7e528-7ab2-445f-a2ae-0b2984346a53,27-03-2023 10:04,,,743.6606136,345.6738759,4587,78.68647879,0.357294822,compute,high,waiting
f716ae43-337e-455a-a500-5501cf74509a,11-06-2023 10:14,61.55595643,77.0928512,377.8340935,25.18609855,9118,,0.190772864,io,medium,running
2c949558-ca6a-4f71-a61d-1084a8a06120,09-02-2023 10:35,12.38199828,36.47176569,,175.9259767,787,23.41300681,0.041160884,io,,completed
2c6f8200-5455-426b-818e-ba865dcd79a8,28-06-2023 20:53,84.80082293,40.30503356,315.9553164,121.3343169,,19.70213462,0.615368479,,low,completed
675e02d3-2709-4612-9b8b-c49ce8cf96ad,,80.73189587,21.55132259,638.6156699,435.1990021,1373,48.59816728,0.728485089,compute,medium,running
347be138-07ab-4cc3-9030-f422d10db789,08-07-2023 05:08,56.91007386,,68.13005912,55.36158358,,82.59877252,0.372243546,compute,,completed
,21-06-2023 19:23,40.71832972,95.58768942,742.8207012,204.8263791,2178,85.73979686,0.183161077,network,low,completed
,22-04-2023 05:05,6.916699546,89.01939262,244.1967157,483.1220404,7127,46.55053797,0.417888345,io,high,completed
c7b461b3-f8c7-49a5-b0ec-c5de4b2159f0,,69.74287731,32.32105699,661.0838196,,8199,19.78557187,0.621099629,network,medium,completed
838c0d7e-0d7c-4b97-9333-991c59da7334,14-03-2023 11:57,45.35426827,73.89732745,920.0835475,194.1253105,23,78.80330439,0.910723156,network,high,completed
35c74ce6-944a-4a8a-98cb-31b20e8e22c4,10-05-2023 05:35,72.20555995,98.27328832,913.0677549,140.177015,,6.142410681,0.747233435,,high,waiting
,17-07-2023 10:46,86.63823259,64.38229529,524.740496,,5834,71.10516107,0.481647148,,high,completed
c2bd6313-3984-4abc-905e-9936235490b0,11-07-2023 06:16,97.5521505,88.96005908,463.54269,182.3531721,6685,59.81568874,0.500875842,io,low,completed
8874b31e-184c-4dac-8f42-2a0227f5343b,16-04-2023 17:36,85.58033424,74.89608691,502.7600161,168.3534783,1259,90.74241868,0.746052884,compute,medium,running
a1321c36-3336-4027-b95f-97d10b9ee697,28-01-2023 08:47,1.171408419,95.75737722,223.9574316,104.7560281,3967,45.21796459,0.4038654,,medium,waiting
f738d775-c46c-4a91-8591-c51ed32daf71,01-04-2023 10:31,35.99780645,35.16464429,,344.8558958,8383,49.05223479,0.415642926,io,medium,completed
12d68a4e-37ec-4267-8f17-c9d18a97c3da,03-03-2023 22:36,72.99905624,85.8050201,765.9244353,77.70259816,9072,78.55514169,0.077001774,io,low,completed
7622c0fd-da69-4bbb-bee0-99c6cbf3fc16,16-05-2023 17:54,17.16296773,71.85099247,337.6027129,316.8592375,,2.565221911,0.894294463,compute,,
400424bc-52a7-46ae-b5ba-ad1669fbb7e6,29-05-2023 21:29,52.10366062,,623.0665385,200.1375574,1101,34.18245842,0.055512494,network,low,waiting
,,5.433798834,85.30675404,831.3256699,261.6234323,873,50.04109192,0.084035087,,medium,waiting
db085752-fd9e-4f87-b856-e7209ffc4f6e,26-01-2023 09:04,19.99965249,6.301437151,799.587971,181.1653442,315,83.65611175,0.572234968,io,medium,waiting
5ae207df-2c74-4ca9-8c30-fb78e96787da,,,,188.2243068,395.511026,942,,0.82445322,network,medium,running
b1f0b180-8b55-4677-9def-b57a9aee2a53,15-03-2023 12:15,79.36977034,3.833567978,907.385935,185.3156887,7564,,0.798022458,compute,high,completed
1997ea75-81bc-42b7-9b3a-3fdc015f619d,26-06-2023 00:04,,64.66220291,536.9395275,64.72938225,3579,,,compute,medium,waiting
fc1d9aec-7397-4492-a176-f77d81279457,06-03-2023 04:55,34.53516807,52.805751,6.97758901,34.09756167,3767,40.3820827,0.784022049,network,high,
8e889cce-7128-4f70-9ca1-3a428868f843,11-02-2023 04:28,92.80812935,66.59769929,870.9181505,102.9178312,5058,52.01122191,0.932179738,compute,medium,completed
,14-05-2023 01:02,70.44144019,,155.5869689,20.96833391,7106,,0.732208706,network,medium,
a8b17bad-30c8-4320-b463-26b87b61605c,27-06-2023 09:19,3.183892953,79.95280391,544.1636981,315.8270998,516,85.97323534,0.25618571,io,high,completed
6e758a3e-451a-4531-ae9f-4b9096312f71,15-03-2023 15:46,16.46941565,75.06530627,722.3071062,293.756835,4283,94.49614658,0.764584182,network,medium,waiting
e48fe559-c040-4e14-a9a6-ffb334cc8c34,07-05-2023 09:03,,9.208354585,177.6133536,299.355766,7537,69.67004176,0.817796661,network,low,waiting
